issue,issue-sum,service,service-sum,agree,disagree,noidea,category1,category2,category3,category4
공공 안전,6264634930000.0,공원내 화장실 시설개선,0,1,1,1,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
공공 안전,6264634930000.0,북악산도시자연공원(성북지구) 조성,3323000000.0,1,3,0,국토및지역개발,지역및도시,생활권 공원확충,미집행 공원조성
공공 안전,6264634930000.0,원수구입비,69162000000.0,1,1,0,환경보호,상하수도ㆍ수질,최고품질의 아리수 생산,건강하고 맛있는 아리수 생산
공공 안전,6264634930000.0,응급의료기관지원 발전프로그램운영,6581000000.0,3,2,1,보건,보건의료,공공보건· 의료분야 대시민 서비스 수준 향상,지역보건 의료기능 강화
공공 안전,6264634930000.0,두드림 청소년 직업체험 및 건강상담센터 설치(주민참여),0,0,2,0,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,청소년시설 확충 및 운영개선 추진
공공 안전,6264634930000.0,서울건축문화투어맵 외국어판 제작,75000000,1,1,0,국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,도시건축문화 구현(일반)
공공 안전,6264634930000.0,근현대 서울유산 수집,103400000,2,3,0,문화및관광,문화예술,역사와 문화의 복합공간 창조,소장유물 확보 및 보존
공공 안전,6264634930000.0,하천내 석면함유 조경석 정비,500000000,3,0,1,국토및지역개발,수자원,치수 및 하천 관리,하천복원 및 정비
공공 안전,6264634930000.0,재개발 임대주택 위탁관리,133576362000.0,1,0,2,사회복지,주택,서민주거 안정도모,저소득층 주거안정 도모(도정)
공공 안전,6264634930000.0,키즈카페 같은 우리동네 도서관(주민참여),40000000,0,1,1,문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 육성지원
공공 안전,6264634930000.0,불법 노점상 및 점용물 정비,48000000,1,1,0,환경보호,환경보호일반,한강공원 관리 및 운영,한강공원시설 관리 및 개선
공공 안전,6264634930000.0,인권감수성 향상을 위한 인권교육,343000000,0,3,0,일반공공행정,일반행정,시민 인권보호 및 권리증진,시민 인권증진 및 인권의식 확산
공공 안전,6264634930000.0,교부금(도시개발),1427409000,1,2,0,국토및지역개발,지역및도시,일반예산(타기관지원등),자치구교부금(도시개발)
공공 안전,6264634930000.0,기본경비,83317000,2,3,1,기타,기타,행정운영경비(경제진흥본부 민생경제과),기본경비
공공 안전,6264634930000.0,장애인 홈페이지 유지보수 및 기능개선,51814000,4,3,0,사회복지,취약계층지원,장애인 자립생활 기반 조성,장애인 자립생활 지원
공공 안전,6264634930000.0,도심 관광버스 주차장 설치,412500000,0,1,1,수송및교통,대중교통ㆍ물류등기타,주차장 확충 및 관리,주차장 건설 및 운영관리(주차관리계정)
공공 안전,6264634930000.0,한양도성 학술행사 개최,250000000,0,3,0,문화및관광,문화재,한양도성 보존 관리 활용,한양도성 세계유산등재 및 시민 참여 활성화
공공 안전,6264634930000.0,월계2교외 1개소 확장공사,0,1,0,2,수송및교통,도로,도로 건설,간선도로망 확충(도시개발특별)
공공 안전,6264634930000.0,신촌현대백화점 주변 침수해소,0,4,0,1,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
공공 안전,6264634930000.0,누수탐지장비 구매,0,1,1,1,환경보호,상하수도ㆍ수질,상수도 경쟁력 확보,세계 최고 수준의 유수율 달성
공공 안전,6264634930000.0,노동권익 보호 및 상담사업 활성화,251000000,0,2,1,사회복지,노동,노동존중문화 정착,근로자 복지 증진
공공 안전,6264634930000.0,서울영어마을 운영 활성화,609300000,0,1,1,교육,평생ㆍ직업교육,다양한 평생교육환경 조성,서울영어마을 지원
공공 안전,6264634930000.0,반환금및기타,1119312000,0,1,0,사회복지,노인ㆍ청소년,일반예산(재무활동),보전지출(여성가족정책실 아동청소년담당관)
공공 안전,6264634930000.0,안심귀가스카우트,4302000000.0,3,1,0,사회복지,보육ㆍ가족및여성,양성평등 및 여성복지증진,여성경제력 강화
공공 안전,6264634930000.0,도봉구 장애인종합복지관 건립(구립),1000000000,0,1,1,사회복지,취약계층지원,장애인자립기반 구축,장애인복지시설 확충 지원
공공 안전,6264634930000.0,임산부 및 영유아 영양플러스,1220990000,1,0,0,보건,보건의료,시민건강수준 향상,취약계층에 대한 보건의료 지원
공공 안전,6264634930000.0,수인성 식품매개성 감염병 감시망 운영,44000000,1,2,0,보건,보건의료,보건환경연구원 효율적운영,감염병과 식중독 등 예방감시 강화
공공 안전,6264634930000.0,지자체 합동평가 우수 자치구 재정인센티브 지원,40000000,0,3,0,일반공공행정,일반행정,시정평가 기능 강화,성과지향의 평가
공공 안전,6264634930000.0,기본경비,56578000,2,0,0,기타,기타,행정운영경비(경제진흥본부 문화융합경제과),기본경비
공공 안전,6264634930000.0,"횡단보도 경계석이 높아서 휠체어가 올라가기 힘들어요(성북구 관내 횡단보도 개선, 성북구, 주민참여)",0,1,1,1,수송및교통,도로,가로환경 수준 개선,도로시설물 관리
공공 안전,6264634930000.0,공유서울 확산,1050000000,0,2,1,일반공공행정,일반행정,사회문제 해결을 위한 사회혁신의제 발굴실행,사회혁신 기반 조성 및 성과 확산
공공 안전,6264634930000.0,도시 위험시설(환기시설 등) 안전점검 및 보수 보강 사업,500000000,4,2,0,공공질서및안전,재난방재ㆍ민방위,안전의식 확산 및 홍보활동 강화,재난관리
공공 안전,6264634930000.0,도시고속도로 연결램프 추가설치,1400000000,2,1,0,수송및교통,도로,도로 건설,도시고속도로망 확충(도시개발특별)
공공 안전,6264634930000.0,"옥수, 금호터널 보도 차단벽 설치공사",0,2,0,0,수송및교통,도로,도로시설관리,터널시설 관리
공공 안전,6264634930000.0,식물원 및 동물사 조경관리,275700000,0,2,0,국토및지역개발,지역및도시,공원이용시민 만족도 향상,동물사 관리기능 및 야생동물 종보전
공공 안전,6264634930000.0,서울브랜드 개발 및 확산,900000000,0,2,0,일반공공행정,일반행정,시민 자긍심 고취 및 도시 경쟁력 제고,체계적이고 지속적인 브랜드 관리
공공 안전,6264634930000.0,서울시민 예술대학 운영,120000000,0,2,1,문화및관광,문화예술,문화예술진흥,문화예술교육지원
공공 안전,6264634930000.0,수련원 유지 및  관리,141200000,0,3,1,일반공공행정,일반행정,신명나게 일하는 직장분위기 조성,수련원 관리사업
공공 안전,6264634930000.0,기본경비,1277324000,0,2,0,기타,기타,행정운영경비(의회사무처 의정담당관),기본경비
공공 안전,6264634930000.0,기본경비,63665000,2,0,0,기타,기타,행정운영경비(재무국 계약심사과),기본경비
공공 안전,6264634930000.0,두텁바위로 57 주변 사각형거 보수보강,1150000000,3,0,1,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 보수보강
공공 안전,6264634930000.0,저소득 청년층을 위한 청년두배 통장,370000000,1,1,0,사회복지,취약계층지원,민·관복지협력네트워크 구축 및 복지사각지대 발굴·지원,사회취약계층 복지 강화
공공 안전,6264634930000.0,강변북로(성산대교~반포대교)확장(교통개선분담금계정),20500000000.0,0,3,1,수송및교통,도로,도로 건설,도시고속도로망 확충(교통사업특별회계)
